robot1	1648536726.701000	0.030962	0.338738	1.405957
robot1	1648536726.751000	0.036119	0.369616	1.407047
robot1	1648536726.801000	0.041277	0.400544	1.408204
robot1	1648536726.851000	0.046438	0.431570	1.409495
robot1	1648536726.901000	0.051603	0.462744	1.410989
robot1	1648536726.951000	0.056773	0.494114	1.412752
robot1	1648536727.001000	0.061950	0.525731	1.414851
robot1	1648536727.051000	0.067134	0.557643	1.417355
robot1	1648536727.101000	0.072328	0.589900	1.420329
robot1	1648536727.151000	0.077533	0.622550	1.423842
robot1	1648536727.201000	0.082749	0.655641	1.427958
robot1	1648536727.251000	0.087959	0.689167	1.432662
robot1	1648536727.301000	0.093127	0.723073	1.437864
robot1	1648536727.351000	0.098218	0.757299	1.443468
robot1	1648536727.401000	0.103194	0.791785	1.449380
robot1	1648536727.451000	0.108021	0.826474	1.455504
robot1	1648536727.501000	0.112661	0.861305	1.461746
robot1	1648536727.551000	0.117080	0.896220	1.468011
robot1	1648536727.601000	0.121239	0.931160	1.474205
robot1	1648536727.651000	0.125111	0.966081	1.480251
robot1	1648536727.701000	0.128692	1.000999	1.486150
robot1	1648536727.751000	0.131982	1.035943	1.491919
robot1	1648536727.801000	0.134984	1.070944	1.497574
robot1	1648536727.851000	0.137699	1.106030	1.503133
robot1	1648536727.901000	0.140131	1.141232	1.508613
robot1	1648536727.951000	0.142280	1.176578	1.514030
robot1	1648536728.001000	0.144148	1.212098	1.519402
robot1	1648536728.051000	0.145740	1.247807	1.524750
robot1	1648536728.101000	0.147074	1.283663	1.530113
robot1	1648536728.151000	0.148168	1.319610	1.535532
robot1	1648536728.201000	0.149044	1.355593	1.541050
robot1	1648536728.251000	0.149719	1.391557	1.546709
robot1	1648536728.301000	0.150214	1.427445	1.552551
robot1	1648536728.351000	0.150549	1.463204	1.558617
robot1	1648536728.401000	0.150744	1.498776	1.564952
robot1	1648536728.451000	0.150810	1.534123	1.571568
robot1	1648536728.501000	0.150737	1.569264	1.578379
robot1	1648536728.551000	0.150507	1.604230	1.585274
robot1	1648536728.601000	0.150103	1.639055	1.592141
robot1	1648536728.651000	0.149507	1.673771	1.598868
robot1	1648536728.701000	0.148700	1.708410	1.605345
robot1	1648536728.751000	0.147667	1.743007	1.611458
robot1	1648536728.801000	0.146389	1.777592	1.617098
robot1	1648536728.851000	0.144848	1.812196	1.622212
robot1	1648536728.901000	0.143028	1.846838	1.626967
robot1	1648536728.951000	0.140910	1.881535	1.631583
robot1	1648536729.001000	0.138477	1.916304	1.636282
robot1	1648536729.051000	0.135711	1.951160	1.641283
robot1	1648536729.101000	0.132594	1.986122	1.646806
robot1	1648536729.151000	0.129109	2.021205	1.653073
robot1	1648536729.201000	0.125241	2.056423	1.660287
robot1	1648536729.251000	0.121009	2.091728	1.668329
robot1	1648536729.301000	0.116470	2.127010	1.676771
robot1	1648536729.351000	0.111679	2.162159	1.685174
robot1	1648536729.401000	0.106693	2.197064	1.693097
robot1	1648536729.451000	0.101570	2.231614	1.700102
robot1	1648536729.501000	0.096366	2.265698	1.705747
robot1	1648536729.551000	0.091137	2.299205	1.709594
robot1	1648536729.601000	0.085951	2.332041	1.711211
robot1	1648536729.651000	0.080912	2.364176	1.710203
robot1	1648536729.701000	0.076132	2.395592	1.706178
robot1	1648536729.751000	0.071723	2.426271	1.698747
robot1	1648536729.801000	0.067799	2.456195	1.687521
robot1	1648536729.851000	0.064471	2.485348	1.672109
robot1	1648536729.901000	0.061852	2.513711	1.652123
robot1	1648536729.951000	0.060053	2.541268	1.627171
robot1	1648536730.001000	0.059185	2.568007	1.596922
robot1	1648536730.051000	0.059290	2.594065	1.562135
robot1	1648536730.101000	0.060349	2.619708	1.524555
robot1	1648536730.151000	0.062343	2.645206	1.485960
robot1	1648536730.201000	0.065253	2.670831	1.448131
robot1	1648536730.251000	0.069057	2.696853	1.412847
robot1	1648536730.301000	0.073737	2.723535	1.381830
robot1	1648536730.351000	0.079247	2.750982	1.355694
robot1	1648536730.401000	0.085525	2.779157	1.334061
robot1	1648536730.451000	0.092506	2.808017	1.316513
robot1	1648536730.501000	0.100126	2.837520	1.302634
robot1	1648536730.551000	0.108319	2.867623	1.292008
robot1	1648536730.601000	0.117022	2.898284	1.284218
robot1	1648536730.651000	0.126171	2.929461	1.278849
robot1	1648536730.701000	0.135700	2.961111	1.275484
robot1	1648536730.751000	0.145545	2.993191	1.273706
robot1	1648536730.801000	0.155643	3.025660	1.273100
robot1	1648536730.851000	0.165931	3.058475	1.273315
robot1	1648536730.901000	0.176357	3.091602	1.274237
robot1	1648536730.951000	0.186871	3.125005	1.275801
robot1	1648536731.001000	0.197425	3.158648	1.277945
robot1	1648536731.051000	0.207967	3.192497	1.280607
robot1	1648536731.101000	0.218449	3.226517	1.283722
robot1	1648536731.151000	0.228820	3.260673	1.287228
robot1	1648536731.201000	0.239031	3.294929	1.291062
robot1	1648536731.251000	0.249031	3.329250	1.295161
robot1	1648536731.301000	0.258774	3.363602	1.299464
robot1	1648536731.351000	0.268249	3.397968	1.303953
robot1	1648536731.401000	0.277479	3.432342	1.308646
robot1	1648536731.451000	0.286486	3.466720	1.313564
robot1	1648536731.501000	0.295295	3.501099	1.318727
robot1	1648536731.551000	0.303928	3.535474	1.324154
robot1	1648536731.601000	0.312409	3.569841	1.329864
robot1	1648536731.651000	0.320761	3.604196	1.335879
robot1	1648536731.701000	0.329007	3.638534	1.342217
robot1	1648536731.751000	0.337169	3.672853	1.348895
robot1	1648536731.801000	0.345236	3.707166	1.355873
